Username,Publish date,Match,Tipp,Odd,Stack,Lable,Result,Sport,Country,Kickoff Date,Post Content
betmaster92,"Wed, Mar 3rd, 2021, 17:19",Man City Women v Fiorentina Women,Over 2.5 (First Half Goals) (2-0) @,1.833,10/10,LOST,-10.00,Football,Livebet,"03 Mar 2021, 16:45                            ",Man City pressing hard for the 3rd goal here
betmaster92,"Tue, Mar 2nd, 2021, 20:38",AD Atletica Gloriense v Dorense,Over 0.5 (Match Goals) (0-0) @,1.833,10/10,LOST,-10.00,Football,Livebet,"02 Mar 2021, 19:00                            ","This game won't finish 0-0, guest team had so many chances they gonna make at least one here,Going with full Stake here"
betmaster92,"Tue, Mar 2nd, 2021, 14:41",Kitara FC v Express FC,Over 1.5 (Match Goals) (0-1) @,1.8,3/10,LOST,-3.00,Football,Livebet,"02 Mar 2021, 13:00                            ","odds completely destroyed, worth a try here"
betmaster92,"Tue, Mar 2nd, 2021, 13:47",Amuda FC v Qamhana,Over 4.5 (Match Goals) (4-0) @,1.833,10/10,WIN,+8.33,Football,Livebet,"02 Mar 2021, 12:00                            ",Might be a fix here with already 2 penalties
betmaster92,"Sun, Feb 28th, 2021, 13:18",FFC Turbine Potsdam Women v SC Sand Women,Over 4 (Goal Line (2-1)) (2-1) @,1.875,8/10,LOST,-8.00,Football,Livebet,"28 Feb 2021, 12:00                            ",No content posted
betmaster92,"Sun, Feb 28th, 2021, 13:11",KF Drita v KF Besa Peje,Over 3.5 (Match Goals) (2-0) @,1.833,5/10,WIN,+4.17,Football,Livebet,"28 Feb 2021, 12:00                            ",No content posted
betmaster92,"Sun, Feb 28th, 2021, 11:25",San Martin Burzaco U20 v Villa San Carlos U20,Over 3.5 (Match Goals) (1-0) @,1.833,4/10,WIN,+3.33,Football,Livebet,"28 Feb 2021, 11:00                            ",No content posted
betmaster92,"Sat, Feb 27th, 2021, 16:03",Rapid Vienna v SV Ried,Rapid Vienna -1 (Asian Handicap (0-0)) (0-0) @,1.65,10/10,WIN,0.00,Football,Livebet,"27 Feb 2021, 16:00                            ","Rapid is 2nd Ried is 10th. Rapid is nearly unbeatable at home and the new Coach from Ried struggles and will not last long in this team if he continues like that. Ried is in big financial trouble through COVID and their only hope is Marco Gruell who will join Rapid on a free transfer in the summer. No points to grab here for Ried and no long analyses needed here, because I know this league very well. If you want a higher odd you can take the -1,5 i'm gonna go with -1.0 asia. "
betmaster92,"Sat, Feb 27th, 2021, 15:31",FC Zurich Women v St Gallen Women,Under 4.5 (Match Goals) (1-0) @,2,4/10,WIN,+4.00,Football,Livebet,"27 Feb 2021, 15:00                            ",No content posted
betmaster92,"Sat, Feb 27th, 2021, 15:01",Istra 1961 U19 v Dinamo Zagreb U19,Under 1.5 (Match Goals) (0-0) @,1.833,8/10,WIN,+6.66,Football,Livebet,"27 Feb 2021, 13:30                            ",Istra will try to defend this hard till the end. Big value here in my opinion
betmaster92,"Sat, Feb 27th, 2021, 11:22",CA Platense U20 v Boca Juniors U20,Over 4.5 (Match Goals) (1-1) @,2,3/10,WIN,+3.00,Football,Livebet,"27 Feb 2021, 11:00                            ",No content posted
betmaster92,"Fri, Feb 26th, 2021, 18:16",NK Varazdin v NK Osijek,Over 4 (Goal Line (2-1)) (2-1) @,1.95,9/10,WIN,+8.55,Football,Livebet,"26 Feb 2021, 17:00                            ",Osijek pressing hard to get some points here which they badly need. At least one more to go. Who wants a risky bet can try Osijek to win the game.
betmaster92,"Fri, Feb 26th, 2021, 15:02",Brighton U23 v Man City U23,Man City U23 -1 (Asian Handicap (1-1)) (1-1) @,2.05,10/10,WIN,+10.50,Football,Livebet,"26 Feb 2021, 14:00                            ",City dominating this game by far. They gonna take the 3 points easy here.
betmaster92,"Fri, Feb 26th, 2021, 10:54",Madhyapur Youth Association v Tushal Youth Club,Over 3 (Goal Line (1-0)) (1-0) @,2.025,8/10,LOST,-8.00,Football,Livebet,"26 Feb 2021, 09:45                            ",Very bad defense in this game + the favourite team losing. At least 2 goals to go here
betmaster92,"Wed, Feb 24th, 2021, 12:25",Uniao Almeirim v UD Santarem,Over 4.5 (Match Goals) (0-4) @,1.727,7/10,LOST,-7.00,Football,Livebet,"24 Feb 2021, 11:00                            ",No content posted
betmaster92,"Wed, Feb 24th, 2021, 10:15",Shree Kumari Club v Shree Bhagwati Club,Over 4.5 (Match Goals) (1-0) @,2.2,6/10,WIN,+7.20,Football,Livebet,"24 Feb 2021, 09:45                            ","very offensive game, i think there gonna be at least 5 goals at this game"
betmaster92,"Tue, Feb 23rd, 2021, 21:01",Lazio v Bayern Munich,Over 9.5 (Team Shots on Target) (0-3) @,2.25,5/10,LOST,-5.00,Football,Livebet,"23 Feb 2021, 20:00                            ",value bet here
betmaster92,"Tue, Feb 23rd, 2021, 18:28",Austria Women v Slovakia Women,Over 12 (Match Corners (8)) (1-0) @,1.833,5/10,WIN,+4.17,Football,Livebet,"23 Feb 2021, 17:30                            ","very good line here, Austria pressing hard. Should be an easy one here."
betmaster92,"Tue, Feb 23rd, 2021, 15:54",Estonia Women v Slovenia Women,Over 3.5 (Match Goals) (0-0) @,1.833,7/10,WIN,+5.83,Football,Livebet,"23 Feb 2021, 16:00                            ",No content posted
betmaster92,"Tue, Feb 23rd, 2021, 15:00",Malta Women v Sweden Women,Sweden Women -1 (Asian Handicap (0-2)) (0-2) @,1.85,5/10,WIN,0.00,Football,Livebet,"23 Feb 2021, 13:30                            ",No content posted
betmaster92,"Tue, Feb 23rd, 2021, 14:31",Tigres FC Women v Athletic Katy Pumas Real Women,Under 5.5 (Match Goals) (0-3) @,1.727,7/10,WIN,+5.09,Football,Livebet,"23 Feb 2021, 12:45                            ",No content posted
betmaster92,"Mon, Feb 22nd, 2021, 18:53",NB Castellon Women vs Leganés Women,Leganés Women -29.5 (Game Lines) (22-44) @,1.87,8/10,LOST,-8.00,Basketball,Livebet,"22 Feb 2021, 18:00                            ",No content posted
betmaster92,"Mon, Feb 22nd, 2021, 16:33",Sigortam.net vs Akhisar Belediye,Sigortam.net +4.5 (Game Lines) (65-72) @,1.833,5/10,WIN,+4.17,Basketball,Livebet,"22 Feb 2021, 15:00                            ",No content posted
betmaster92,"Mon, Feb 22nd, 2021, 14:35",Estonia vs North Macedonia,North Macedonia Money Line (Game Lines) (45-33) @,3.3,2/10,WIN,+4.60,Basketball,Livebet,"22 Feb 2021, 14:00                            ",No content posted
betmaster92,"Mon, Feb 22nd, 2021, 09:06",Kazakhstan vs Sri Lanka,Sri Lanka +76.5 (Game Lines) (78-23) @,1.833,10/10,WIN,+8.33,Basketball,Livebet,"22 Feb 2021, 08:00                            ",No content posted
