web-scraper-order,web-scraper-start-url,publikation
1647089043-1191,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea
 	(1998)
	Editoral.
	Informatik/Informatique,
	Vol. 5
	(6).
	2."
1647089043-1640,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Wirtschaftlichkeitsanalysen im IV-Bereich.
	Blockwoche Informationsmanagement Intensivstudium KMU.
	St. Gallen,
	2 June 1998."
1647089043-1166,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea & Leithner, Barbara
 	(2006)
	Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.
	Zeitschrift für Betriebswirtschaft,
	
	(2).
	1-18."
1647089043-1567,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell.
	Media Design Center der TU Dresden.
	Dresden,
	13 May 2004."
1647089043-1332,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	E-Learning im Unternehmen.
    	In  
    	Kurbel, Karl; Gronau, Norbert; Becker, Joerg; Sinz, Elmar & Suhl, Leena (ed.): 
    	Enzyklopädie der Wirtschaftsinformatik : Online-Lexikon. 
	München :
	Oldenbourg,
	2008,
	S. online."
1647089043-1509,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Twitter - Begegnung mit altbekannten Lernsituationen.
	Learntec 2010.
	Karlsruhe,
	4 February 2010."
1647089043-1423,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Enkel, Ellen; Raimann, Joerg; Seufert, Andreas; Vassiliadis, Stefanos; Wicki, Yvonne; Back, Andrea & von Krogh, G.:
	MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.
	,
	2000,"
1647089043-1456,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea & Friedel, Dominik:
	Enterprise 2.0 - Nutzung & Handlungsbedarf im innerbetrieblichen, B2B und B2C Kontext.
	Zollikofen :
	T-Systems Schweiz AG,
	2011."
1647089043-1628,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Knowledge Networking: Von der Vision zum Business Case.
	Symposium ""Wenn Ihre Firma wüsste, was Ihre Firma weiss: Knowledge Management / Business Intelligence"".
	Pfäffikon,
	1 January 2000."
1647089043-1539,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Einführung in das Thema.
	Seminar ""Weblogs, Wikis, Podcasts & Co. - Wissenstransfer der nächsten Generation"".
	Berlin,
	25 October 2007."
1647089043-1205,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea & Schuka, Oliver
 	(1996)
	Vom Firmenhauptsitz ins Telecottage.
	Output Focus,
	Vol. 1
	
	46-48."
1647089043-1375,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Josef, Barbara & Back, Andrea:
	Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?
	,
	2016,"
1647089043-1335,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea & Heidecke, Florian:
	Produktivität von Wissensarbeitern.
    	In  
    	Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (ed.): 
    	Web 2.0 in der Unternehmenspraxis : Grundlagen, Fallstudien und Trends zum Einsatz von Social Software. 
	München :
	Oldenbourg,
	2008,
	S. 99-112."
1647089043-1215,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea
 	(1994)
	Vorarbeiten für die Datenmodellierung am Beispiel zweier Industrieunternehmen : Automatisierte Dateninventur und elektronischer Begriffskatalog.
	Wirtschaftsinformatik 36,
	Vol. 5
	
	409-421."
1647089043-1179,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Raimann, Joerg & Back, Andrea
 	(2002)
	Informations- und Kommunikationsdienste für Wissensnetzwerke.
	wisu das wirtschaftsstudium,
	
	(Nr 5/02).
	698-706."
1647089043-1598,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Wissensmanagement.
	Kernprogramm Information Management, EMBA an der Universität Zürich.
	Zürich,
	13 March 2002."
1647089043-1548,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen.
	Zukunft E-Learning: E-Learning-Strategie und didaktische Implikationen.
	Universität Innsbruck,
	4 December 2006."
1647089043-1304,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea; Vonkrogh, Georg; Seufert, Andreas & Enkel, Ellen (ed.) 
    	: 
	Putting knowledge networks into action : a methodology for developing and maintaining Knowledge Networks.
	
	Berlin :
	Springer,
	2005,
	DOI:10.1007/b138845.
	- ISBN 978-3-540-40574-0."
1647089043-1297,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Sammer, Thomas; Back, Andrea & Walter, Thomas
    	 
    	: 
	Mobile Business : Management von mobiler IT in Unternehmen.
	
	Zürich :
	buch & netz,
	2014,
	
	- ISBN 978-3-03805-029-2."
1647089043-1636,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Workshop Virtual Academia: Developments in new technology platforms.
	the 10th annual meeting CEMS (Community of European Management Schools).
	Wien,
	27 November 1998."
1647089043-1550,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein.
	eLearning an der LFUI - Rückblick und Ausblick.
	Innsbruck,
	28 September 2006."
1647089043-1253,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Walter, Thomas & Back, Andrea:
	A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests.
	2013.
	- 46th Hawaii International Conference on System Sciences (HICSS).
	- Grand Wailea, Maui, Hawaii."
1647089043-1291,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Mayrhofer, David & Back, Andrea:
	Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations.
	2003.
	- 14th Information Resource Management Association International Conference (IRMA03).
	- Philadelphia, PA."
1647089043-1562,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Einführung.
	Knowledge Worker Productivity: Von Investitionen in Lernen und Wissen zu messbaren Geschäftsresultaten, Seminar Learning Center.
	Wallisellen,
	18 November 2004."
1647089043-1555,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	E-Learning im Unternehmen.
	CIO-Meeting.
	Zürich,
	6 March 2006."
1647089043-1511,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Mit Medienkompetenz zum Studierendenerlebnis.
	Campus Innovation.
	Hamburg,
	26 November 2009."
1647089043-1635,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management.
	Executive Study Program Master of Business Engineering, Universität St. Gallen.
	St. Gallen,
	5 January 1999."
1647089043-1175,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus
 	(2003)
	Wissensinitiativen: Überall, aber wo genau?
	io new management,
	
	(Nr. 10).
	30-36."
1647089043-1616,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Knowledge Management und E-Learning.
	Seminar ""St. Galler Wissensmanagement"".
	St. Gallen,
	14 November 2000."
1647089043-1407,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Keller, Miriam; Leithner, Barbara; Schnoering, Katharina; Bursian, Olaf; Bendel, Oliver & Back, Andrea:
	Creating a Competency Model for Swissair and Sabena.
	,
	2002,
	BE HSG / IWI3 Nr. 24 (Internal Paper)."
1647089043-1367,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea; Rieger, B. & Seufert, Andreas:
	Executive Information Systems.
    	In  
    	Mertens, P. et. al. (ed.): 
    	Lexikon der Wirtschaftsinformatik. 
	Springer :
	Berlin et al.,
	1997,
	S. 157-158."
1647089043-1618,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele.
	Pressekonferenz ""Preisrutsch ebnet E-Learning den Weg"".
	Düsseldorf,
	2 November 2000."
1647089043-1455,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Sammer, Thomas & Back, Andrea:
	The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?
	UK :
	The Case Centre,
	2013."
1647089043-1240,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Berghaus, Sabine & Back, Andrea:
	Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders.
	2014.
	- The 27th Bled eConference ""eEcosystems"".
	- Bled, Slovenia."
1647089043-1185,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea
 	(2000)
	Michael Cusumano :Interview.
	Wirtschaftsinformatik,
	42
	(1).
	71-73.
	ISSN 0937-6429"
1647089043-1159,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Wagner, Christian & Back, Andrea
 	(2008)
	Group Wisdom Support Systems: Aggregating the Insights of many trough Information Technology.
	Issues in Information Systems (IIS),
	9
	(2).
	343-350."
1647089043-1255,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Friedel, Dominik & Back, Andrea:
	Das St. Galler Enterprise 2.0 Methodenset - Ein Ansatz zum organisatorischen Wandel.
	2012.
	- 14. KnowTech 2012.
	- Stuttgart."
1647089043-1480,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0.
	Tag der Informatik an der Christian-Albrechts-Universität Kiel.
	Kiel,
	2 December 2011."
1647089043-1528,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	The Emergence and Impact of Web 2.0.
	Focus on social media.
	Europäisches Patentamt, München,
	3 March 2009."
1647089043-1244,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Silic, Mario; Back, Andrea & Ruf, Christian:
	Mobile Contactless Payments Adoption Challenge in the Complex Network Actor Ecosystem.
	2014.
	- The 27th Bled eConference ""eEcosystems"".
	- Bled, Slovenia."
1647089043-1553,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea:
	HSG Business Engineering Research Program.
	IS Seminar, City University of Hong Kong.
	
	7 March 2006."
1647089043-1238,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Berghaus, Sabine & Back, Andrea:
	Requirements Elicitation and Utilization Scenarios for In-Car Use of Wearable Devices.
	2015.
	- 48th Hawaiin International Conference on System Sciences (HICSS).
	- Kauai, Hawaii."
1647089043-1264,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Walter, Thomas & Back, Andrea:
	Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest.
	2011.
	- 6th Mediterranean Conference on Information Systems (MCIS 2011).
	- Limassol, Cyprus."
1647089043-1153,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea
 	(2009)
	Die Öffnung des Innovationsprozesses.
	wirtschaftsmagazin,
	
	(11).
	9-11."
1647089043-1203,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea & Wagner, J.
 	(1996)
	Internet und World Wide Web : Zugangs- und Anwendungsmöglichkeiten für den Steuerberater.
	DSWR,
	Vol. 25
	(4).
	78-80."
1647089043-1426,https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?,"Back, Andrea; Seufert, Andreas; Vassiliadis, Stefanos & von Krogh, Georg:
	Competing with Intellectual Capital: Theoretical Background.
	,
	2000,"
