web-scraper-order,web-scraper-start-url,items,items-href,title,autoren,erscheinungsjahr,journal/konferenz
"1647209717-1677","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Teamarbeit 2.0: Global - zeitgemäss - kompetent.","https://www.alexandria.unisg.ch/216811/","Teamarbeit 2.0: Global - zeitgemäss - kompetent","Back, Andrea","20 July 2012","null"
"1647209864-1750","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele.","https://www.alexandria.unisg.ch/213768/","Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele","Back, Andrea; Seufert, Andreas & von Krogh, G.","1999","null"
"1647210096-1866","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Coworking as a New Innovation Scenario from the Perspective of Mature Organisations.","https://www.alexandria.unisg.ch/254939/","Coworking as a New Innovation Scenario from the Perspective of Mature Organisations","Josef, Barbara & Back, Andrea","13 April 2018","null"
"1647210183-1909","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Managerial aspects of corporate e-Learning: insights from a study of four cases.","https://www.alexandria.unisg.ch/213181/","Managerial aspects of corporate e-Learning: insights from a study of four cases","Back, Andrea & Bursian, Olaf","1 Juni 2003","Studies in Communications Sciences, Special Issue ""New Media in Education"""
"1647210108-1872","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Umsetzung objektorientierter Konstrukte im internen Rechnungswesen.","https://www.alexandria.unisg.ch/213469/","Umsetzung objektorientierter Konstrukte im internen Rechnungswesen","Back, Andrea","1 Januar 1994","HMD: Praxis der Wirtschaftsinformatik"
"1647210271-1953","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Evaluating the Role of Trust in Adoption: A Conceptual Replication in the Context of Open Source Systems.","https://www.alexandria.unisg.ch/253961/","Evaluating the Role of Trust in Adoption: A Conceptual Replication in the Context of Open Source Systems","Silic, Mario; Barlow, Jordan & Back, Andrea","1 März 2018","AIS Transactions on Replication Research"
"1647209608-1623","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Impulsvortrag ""Persönliche Wissensarbeit"".","https://www.alexandria.unisg.ch/66942/","Impulsvortrag ""Persönliche Wissensarbeit""","Back, Andrea","14 September 2006","null"
"1647209550-1594","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Meetings im Überblick: Eine Einführung.","https://www.alexandria.unisg.ch/213913/","E-Meetings im Überblick: Eine Einführung","Back, Andrea","8 Mai 2003","null"
"1647209508-1573","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Corporate E-Learning: Strategic Issues.","https://www.alexandria.unisg.ch/213138/","Corporate E-Learning: Strategic Issues","Back, Andrea","1 Juni 2001","null"
"1647209741-1689","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?","https://www.alexandria.unisg.ch/227151/","The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?","Sammer, Thomas & Back, Andrea","2013","null"
"1647209534-1586","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensmanagement.","https://www.alexandria.unisg.ch/213927/","Wissensmanagement","Back, Andrea","13 März 2002","null"
"1647210124-1880","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Entwicklungen im Markt und in Anwendungsfeldern von Groupware.","https://www.alexandria.unisg.ch/196919/","Entwicklungen im Markt und in Anwendungsfeldern von Groupware","Back, Andrea","1 Januar 1995","Informatik/Informatique"
"1647209755-1696","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","State of the Art des Management Supports Teil 2: Neuere Management Support Ansätze.","https://www.alexandria.unisg.ch/213091/","State of the Art des Management Supports Teil 2: Neuere Management Support Ansätze","Back, Andrea & Seufert, Andreas","4 März 1997","null"
"1647209960-1798","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise 2.0 - Digitale Transformation durch soziale Technologien.","https://www.alexandria.unisg.ch/246905/","Enterprise 2.0 - Digitale Transformation durch soziale Technologien","Back, Andrea","2016","null"
"1647210004-1820","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Classification of IS Functionalities for Workplace E-Collaboration.","https://www.alexandria.unisg.ch/65971/","Classification of IS Functionalities for Workplace E-Collaboration","Mayrhofer, David & Back, Andrea","21 Mai 2004","null"
"1647209914-1775","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Integrated Performance Measurement System for Knowledge Networks for Growth.","https://www.alexandria.unisg.ch/258/","Integrated Performance Measurement System for Knowledge Networks for Growth","Enkel, Ellen; Rumyantseva, Maria & Gurgul, Grzegorz","2007","null"
"1647209568-1603","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse.","https://www.alexandria.unisg.ch/213711/","St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse","Back, Andrea","10 Februar 2004","null"
"1647209715-1676","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?","https://www.alexandria.unisg.ch/216806/","Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?","Back, Andrea & Henestrosa, Alexandra","18 April 2012","null"
"1647209602-1620","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning im Unternehmen.","https://www.alexandria.unisg.ch/66842/","E-Learning im Unternehmen","Back, Andrea","6 März 2006","null"
"1647210215-1925","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","University Apps.","https://www.alexandria.unisg.ch/214377/","University Apps","Back, Andrea & Walter, Thomas","1 Oktober 2010","Switchjournal"
"1647209512-1575","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensmanagement in KMU.","https://www.alexandria.unisg.ch/213576/","Wissensmanagement in KMU","Back, Andrea","14 September 2001","null"
"1647209467-1553","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Workshop Virtual Academia: Developments in new technology platforms.","https://www.alexandria.unisg.ch/66904/","Workshop Virtual Academia: Developments in new technology platforms","Back, Andrea","27 November 1998","null"
"1647209614-1626","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen.","https://www.alexandria.unisg.ch/214375/","Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen","Back, Andrea","4 Dezember 2006","null"
"1647209996-1816","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen.","https://www.alexandria.unisg.ch/249434/","Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen","Back, Andrea","30 September 2002","null"
"1647210287-1961","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Konfrontiert mit einer Flut von Kooperations­anfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung.","https://www.alexandria.unisg.ch/261143/","Konfrontiert mit einer Flut von Kooperations­anfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung","Grüttner, Arne; Braschler, Thomas & Back, Andrea","6 Oktober 2020","Wirtschaftsinformatik & Management"
"1647209862-1749","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Executive Information Systems.","https://www.alexandria.unisg.ch/213206/","Executive Information Systems","Back, Andrea; Rieger, B. & Seufert, Andreas","1997","null"
"1647209970-1803","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning: Weiterbildung im Internet.","https://www.alexandria.unisg.ch/213696/","E-Learning: Weiterbildung im Internet","Seufert, Sabine; Back, Andrea & Häusler, Martin","2001","null"
"1647209642-1640","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger.","https://www.alexandria.unisg.ch/67844/","Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger","Back, Andrea","3 März 2009","null"
"1647209896-1766","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen.","https://www.alexandria.unisg.ch/213161/","Beiträge des Balanced-Scorecard-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen","Back, Andrea & Leithner, Barbara","2005","null"
"1647209580-1609","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Implementierung von Wissensmanagement-Systemen und -Netzwerken.","https://www.alexandria.unisg.ch/214305/","Implementierung von Wissensmanagement-Systemen und -Netzwerken","Back, Andrea","12 Mai 2004","null"
"1647209916-1776","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen.","https://www.alexandria.unisg.ch/67295/","Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen","Back, Andrea & Keller, Miriam","2007","null"
"1647209488-1563","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Technologie und Mensch im Wissensmanagement.","https://www.alexandria.unisg.ch/213494/","Technologie und Mensch im Wissensmanagement","Back, Andrea","21 März 2000","null"
"1647210150-1893","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Measuring.","https://www.alexandria.unisg.ch/213909/","Measuring","Back, Andrea; Seufert, Andreas & von Krogh, G.","1 Januar 1998","Thexis-Sonderheft Management Szenarien 2005"
"1647209572-1605","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?","https://www.alexandria.unisg.ch/66831/","Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?","Back, Andrea","16 Februar 2004","null"
"1647209828-1732","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Blended-Learning-Projekte im Unternehmen.","https://www.alexandria.unisg.ch/213554/","Blended-Learning-Projekte im Unternehmen","Keller, Miriam & Back, Andrea","1 April 2004","null"
"1647209456-1547","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Management: Concepts and Technologies.","https://www.alexandria.unisg.ch/66868/","Knowledge Management: Concepts and Technologies","Back, Andrea","22 April 1998","null"
"1647210042-1839","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz.","https://www.alexandria.unisg.ch/211868/","Barrieren am Weg zum Mobile Contactless Payment : Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz","Sammer, Thomas; Lazur, Christian; Walter, Thomas & Back, Andrea","1 März 2012","GI-Edition"
"1647209653-1645","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?","https://www.alexandria.unisg.ch/67838/","Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?","Back, Andrea","29 July 2009","null"
"1647209668-1653","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Twitter - Begegnung mit altbekannten Lernsituationen.","https://www.alexandria.unisg.ch/213947/","Twitter - Begegnung mit altbekannten Lernsituationen","Back, Andrea","4 Februar 2010","null"
"1647210102-1869","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Steuerungstool des Board of Directors für Digitale Transformationsprojekte.","https://www.alexandria.unisg.ch/260172/","Steuerungstool des Board of Directors für Digitale Transformationsprojekte","Mörstedt, Nils G. & Back, Andrea","19 März 2020","null"
"1647209504-1571","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Management und E-Learning.","https://www.alexandria.unisg.ch/214083/","Knowledge Management und E-Learning","Back, Andrea","14 November 2000","null"
"1647209664-1651","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Videobasiertes E-Learning auf dem Siegeszug 2.0.","https://www.alexandria.unisg.ch/197461/","Videobasiertes E-Learning auf dem Siegeszug 2.0","Back, Andrea","24 November 2009","null"
"1647210118-1877","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Interview mit Mark C. Turrell: ""Groupware should be widely deployed"".","https://www.alexandria.unisg.ch/213741/","Interview mit Mark C. Turrell: ""Groupware should be widely deployed""","Back, Andrea","1 Januar 1995","Informatik/Informatique"
"1647210002-1819","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Towards a Framework for Knowledge Networks for Growth - Results of an Action Research Study.","https://www.alexandria.unisg.ch/280/","Towards a Framework for Knowledge Networks for Growth - Results of an Action Research Study","Enkel, Ellen; Back, Andrea & Vonkrogh, Georg","1 August 2003","null"
"1647209992-1814","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile Business : Management von mobiler IT in Unternehmen.","https://www.alexandria.unisg.ch/229147/","Mobile Business : Management von mobiler IT in Unternehmen","Sammer, Thomas; Back, Andrea & Walter, Thomas","2014","null"
"1647209856-1746","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Management Informationssysteme.","https://www.alexandria.unisg.ch/197075/","Management Informationssysteme","Back, Andrea","1996","null"
"1647210165-1900","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Michael Cusumano :Interview.","https://www.alexandria.unisg.ch/196684/","Michael Cusumano :Interview","Back, Andrea","1 Februar 2000","Wirtschaftsinformatik"
"1647209950-1793","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell.","https://www.alexandria.unisg.ch/216599/","Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell","Friedel, Dominik & Back, Andrea","2012","null"
"1647209528-1583","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.","https://www.alexandria.unisg.ch/66857/","eLearning im Unternehmen: Lessons Learned und Erfahrungslücken","Back, Andrea","7 Februar 2002","null"
"1647209794-1715","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Perspective for our partners: Boundaries of the firm.","https://www.alexandria.unisg.ch/295/","Perspective for our partners: Boundaries of the firm","Enkel, Ellen; Gibbert, Michael; Makarevitch, Alexei & Vassiliadis, Stefanos","2001","null"
"1647209872-1754","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Executive Information System (EIS).","https://www.alexandria.unisg.ch/196825/","Executive Information System (EIS)","Back, Andrea & Seufert, Andreas","2001","null"
"1647210036-1836","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest.","https://www.alexandria.unisg.ch/214388/","Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest","Walter, Thomas & Back, Andrea","4 September 2011","null"
"1647210078-1857","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering.","https://www.alexandria.unisg.ch/241639/","How Can We Design Products, Services, and Software That Reflect the Needs of Our Stakeholders? : Towards a Canvas for Successful Requirements Engineering","Ruf, Christian & Back, Andrea","22 Mai 2015","Lecture Notes in Computer Science"
"1647209650-1644","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung.","https://www.alexandria.unisg.ch/214376/","Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung","Back, Andrea","29 Juni 2009","null"
"1647209644-1641","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","The Emergence and Impact of Web 2.0.","https://www.alexandria.unisg.ch/67612/","The Emergence and Impact of Web 2.0","Back, Andrea","3 März 2009","null"
"1647209796-1716","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Fostering New Ventures: Organisational conditions for New Ventures in Unilever.","https://www.alexandria.unisg.ch/293/","Fostering New Ventures: Organisational conditions for New Ventures in Unilever","van Wegen, B.; Makarevitch, Alexei; Kayser, T. & Enkel, Ellen","2001","null"
"1647210253-1944","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Taxonomy of technological risks of open source software in the enterprise adoption context.","https://www.alexandria.unisg.ch/245189/","Taxonomy of technological risks of open source software in the enterprise adoption context","Silic, Mario; Back, Andrea & Silic, Dario","15 Oktober 2015","Information & Computer Security"
"1647209660-1649","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz).","https://www.alexandria.unisg.ch/214167/","Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz)","Back, Andrea","23 Oktober 2009","null"
"1647210283-1959","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns.","https://www.alexandria.unisg.ch/260293/","From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns","Grüttner, Arne; Wambsganss, Thiemo & Back, Andrea","2020","null"
"1647210221-1928","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","2D-Codes - Technologie und Anwendungsbereiche.","https://www.alexandria.unisg.ch/214390/","2D-Codes - Technologie und Anwendungsbereiche","Knuchel, Thomas; Kuntner, Tobias; Pataki, Eva Carolina & Back, Andrea","1 Februar 2011","Wirtschaftsinformatik"
"1647209954-1795","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensarbeit nach Lean-Prinzipien bei Saia-Burgess Controls.","https://www.alexandria.unisg.ch/236229/","Wissensarbeit nach Lean-Prinzipien bei Saia-Burgess Controls","Back, Andrea; Lauber, Jürgen & Sütterlin, Sarah","2014","null"
"1647209721-1679","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Teamarbeit 2.0: Global - zeitgemäss - kompetent.","https://www.alexandria.unisg.ch/216813/","Teamarbeit 2.0: Global - zeitgemäss - kompetent","Back, Andrea","7 September 2012","null"
"1647209962-1799","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.","https://www.alexandria.unisg.ch/248640/","Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation","Ruf, Christian; Back, Andrea & Burkhardt, Marc","März 2016","null"
"1647210010-1823","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Management in Challenging Settings - A Case of Military Aircraft.","https://www.alexandria.unisg.ch/213119/","Knowledge Management in Challenging Settings - A Case of Military Aircraft","Mayrhofer, David; Heilmeier, Peter; Nirankari, Ravi & Back, Andrea","29 Juni 2005","Journal of Universal Computer Science"
"1647209688-1663","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Do LMS have a Future? A conversation between criticism and defence of today's LMS.","https://www.alexandria.unisg.ch/102536/","Do LMS have a Future? A conversation between criticism and defence of today's LMS","Back, Andrea","23 März 2011","null"
"1647210000-1818","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations.","https://www.alexandria.unisg.ch/66701/","Workplace e-collaboration in Practice - Identifying preconditions for successfully implementing e-collaboration in organizations.","Mayrhofer, David & Back, Andrea","19 Mai 2003","null"
"1647209948-1792","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Crowdsourcing-Plattformen.","https://www.alexandria.unisg.ch/216612/","Crowdsourcing-Plattformen","Walter, Thomas","2012","null"
"1647210285-1960","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?","https://www.alexandria.unisg.ch/260201/","Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?","Lötscher, Julia & Back, Andrea","6 Mai 2020","Wirtschaftsinformatik & Management"
"1647210026-1831","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH.","https://www.alexandria.unisg.ch/71770/","Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH","Sammer, Thomas; Lin, Dada; Back, Andrea & Schoenefeld, Frank","22 Februar 2011","GI-Edition"
"1647210006-1821","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser.","https://www.alexandria.unisg.ch/65955/","Learning-Management-Systeme im Corporate E-Learning: Lösung oder Auslöser","Back, Andrea","28 April 2005","null"
"1647209926-1781","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Podcasting.","https://www.alexandria.unisg.ch/213767/","Podcasting","Haentschel-erhart, Irene","2008","null"
"1647209749-1693","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wie packen Unternehmen die Digitale Transformation an? (Teil 1).","https://www.alexandria.unisg.ch/247311/","Wie packen Unternehmen die Digitale Transformation an? (Teil 1)","Berghaus, Sabine & Back, Andrea","2016","null"
"1647209554-1596","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Vorbereitungsgrad von Unternehmen für E-Learning.","https://www.alexandria.unisg.ch/214075/","Vorbereitungsgrad von Unternehmen für E-Learning","Back, Andrea","1 Oktober 2003","null"
"1647210177-1906","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-HR - Strategic Upgrade.","https://www.alexandria.unisg.ch/196824/","E-HR - Strategic Upgrade","Back, Andrea","1 Juni 2002","Learntec New"
"1647209737-1687","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer.","https://www.alexandria.unisg.ch/260243/","Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer","Grüttner, Arne & Back, Andrea","Mai 2020","bildung+ schule digital"
"1647209654-1646","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Differences in ERP Implementations in India & Western Europe.","https://www.alexandria.unisg.ch/214231/","Differences in ERP Implementations in India & Western Europe","Talwar, Manish & Back, Andrea","9 August 2009","null"
"1647209606-1622","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht.","https://www.alexandria.unisg.ch/67060/","Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht","Back, Andrea","13 July 2006","null"
"1647210054-1845","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Adoption of Online Videos in Organizations : A Multi-Case Comparison.","https://www.alexandria.unisg.ch/223554/","Adoption of Online Videos in Organizations : A Multi-Case Comparison","Ruf, Christian & Back, Andrea","9 Juni 2013","null"
"1647209490-1564","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Knowledge Management und Knowledge Portale: Konzepte und Trends.","https://www.alexandria.unisg.ch/213116/","Knowledge Management und Knowledge Portale: Konzepte und Trends","Back, Andrea","11 April 2000","null"
