web-scraper-order;web-scraper-start-url;linkto;linkto-href;Autor;Title;;;;;;;;;;;;;;;;;;;
1647211359-5668;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen.;https://www.alexandria.unisg.ch/67295/;Back, Andrea & Keller, Miriam;Gestaltung eines Blended-Learning-Szenarios vor dem Hintergrund der Unterstützung einer neuen Lernkultur in Unternehmen;;;;;;;;;;;;;;;;;;;
1647211014-5385;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung.;https://www.alexandria.unisg.ch/213390/;Back, Andrea;Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung;;;;;;;;;;;;;;;;;;;
1647210894-5271;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wirtschaftlichkeitsanalysen im IV-Bereich.;https://www.alexandria.unisg.ch/66896/;;Wirtschaftlichkeitsanalysen im IV-Bereich;;;;;;;;;;;;;;;;;;;
1647211298-5627;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Management Informationssysteme.;https://www.alexandria.unisg.ch/197075/;Back, Andrea;Management Informationssysteme;;;;;;;;;;;;;;;;;;;
1647210996-5368;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Insights from taking a business engineering perspective on corporate eLearning.;https://www.alexandria.unisg.ch/66864/;;Insights from taking a business engineering perspective on corporate eLearning;;;;;;;;;;;;;;;;;;;
1647211229-5576;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Training for Knowledge Networks: Documentation.;https://www.alexandria.unisg.ch/214311/;;Training for Knowledge Networks: Documentation;;;;;;;;;;;;;;;;;;;
1647210931-5305;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung.;https://www.alexandria.unisg.ch/213261/;Back, Andrea;Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung;;;;;;;;;;;;;;;;;;;
1647210939-5313;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Management und E-Learning.;https://www.alexandria.unisg.ch/214083/;Back, Andrea;Knowledge Management und E-Learning;;;;;;;;;;;;;;;;;;;
1647211353-5664;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Supporting Growth through Innovation Networks in Unilever.;https://www.alexandria.unisg.ch/260/;;Supporting Growth through Innovation Networks in Unilever;;;;;;;;;;;;;;;;;;;
1647210929-5303;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Knowledge Networks und Knowledge Management Technologien.;https://www.alexandria.unisg.ch/213377/;Back, Andrea;Knowledge Networks und Knowledge Management Technologien;;;;;;;;;;;;;;;;;;;
1647211312-5637;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Massenspeicher, magnetischer.;https://www.alexandria.unisg.ch/196940/;Müller, Jochen;Massenspeicher, magnetischer;;;;;;;;;;;;;;;;;;;
1647211491-5747;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Narrative Hypervideos: Methodenentwurf zur Nutzung usergenerierter Videos in der Wissenskommunikation.;https://www.alexandria.unisg.ch/218402/;Back, Andrea & Toedtli, Maria Camilla;Narrative Hypervideos: Methodenentwurf zur Nutzung usergenerierter Videos in der Wissenskommunikation;;;;;;;;;;;;;;;;;;;
1647211440-5714;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen.;https://www.alexandria.unisg.ch/249434/;Back, Andrea;Zum Verhältnis von eLearning und Wissensmanagement im Unternehmen;;;;;;;;;;;;;;;;;;;
1647210906-5282;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Groupware im Kontext problemorientierter Computing Workspaces.;https://www.alexandria.unisg.ch/66861/;;Groupware im Kontext problemorientierter Computing Workspaces;;;;;;;;;;;;;;;;;;;
1647210967-5340;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;eCollaboration.;https://www.alexandria.unisg.ch/66852/;;eCollaboration;;;;;;;;;;;;;;;;;;;
1647210933-5307;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen.;https://www.alexandria.unisg.ch/66839/;Back, Andrea;e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen;;;;;;;;;;;;;;;;;;;
1647211144-5501;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Towards a Framework for Business Model Design of Scientific Journals with Web 2.0 Principles.;https://www.alexandria.unisg.ch/214408/;Back, Andrea;Towards a Framework for Business Model Design of Scientific Journals with Web 2.0 Principles;;;;;;;;;;;;;;;;;;;
1647211227-5573;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.;https://www.alexandria.unisg.ch/66697/;Enkel, Ellen;;;;;;;;;;;;;;;;;;;;
1647210947-5321;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Wissensmanagement in KMU.;https://www.alexandria.unisg.ch/213576/;Back, Andrea;Wissensmanagement in KMU;;;;;;;;;;;;;;;;;;;
1647211002-5374;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Erfolgreiche E-Learning-Anwendungsfelder - jetzt und in der Zukunft.;https://www.alexandria.unisg.ch/66859/;;Erfolgreiche E-Learning-Anwendungsfelder - jetzt und in der Zukunft;;;;;;;;;;;;;;;;;;;
1647211495-5752;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests.;https://www.alexandria.unisg.ch/223363/;;A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests;;;;;;;;;;;;;;;;;;;
1647211282-5618;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Construction of a Method for Assessing the Likelihood of Burnout of Global ERP Programmes.;https://www.alexandria.unisg.ch/213580/;Seidel, Gunter & Back, Andrea;Construction of a Method for Assessing the Likelihood of Burnout of Global ERP Programmes;;;;;;;;;;;;;;;;;;;
1647211436-5712;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Mobile Business : Management von mobiler IT in Unternehmen.;https://www.alexandria.unisg.ch/229147/;Sammer, Thomas;;;;;;;;;;;;;;;;;;;;
1647211357-5667;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Integrated Performance Measurement System for Knowledge Networks for Growth.;https://www.alexandria.unisg.ch/258/;;Integrated Performance Measurement System for Knowledge Networks for Growth;;;;;;;;;;;;;;;;;;;
1647211321-5642;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Avatar.;https://www.alexandria.unisg.ch/214161/;Bendel, Oliver;Avatar;;;;;;;;;;;;;;;;;;;
1647211221-5568;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option.;https://www.alexandria.unisg.ch/66959/;;Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option;;;;;;;;;;;;;;;;;;;
1647211154-5510;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Tablet Books: Your Courses' Material in Harry Potter Newspaper Style.;https://www.alexandria.unisg.ch/216775/;;Tablet Books: Your Courses' Material in Harry Potter Newspaper Style;;;;;;;;;;;;;;;;;;;
1647211178-5534;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Digital-Entrepreneurship-Werkstatt:;;;;;;;;;;;;;;;;;;;;;;
"Ein Start-up Baukasten für das Klassenzimmer.""";https://www.alexandria.unisg.ch/260243/;;;bildung+ schule digital;;;;;;;;;;;;;;;;;;;;
"Ein Start-up Baukasten für das Klassenzimmer""";;;;;;;;;;;;;;;;;;;;;;;;
1647210953-5328;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;e-Learning-Projekte: Lernen via e-Training und e-Collaboration.;https://www.alexandria.unisg.ch/66838/;;e-Learning-Projekte: Lernen via e-Training und e-Collaboration;;;;;;;;;;;;;;;;;;;
1647211094-5461;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation.;https://www.alexandria.unisg.ch/214088/;Back, Andrea;Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation;;;;;;;;;;;;;;;;;;;
1647211219-5565;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Supporting Business Processes through Knowledge Management - A Technology-based Analysis.;https://www.alexandria.unisg.ch/214245/;Raimann, Joerg;;;;;;;;;;;;;;;;;;;;
1647210911-5286;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Szenario Bildungslandschaft 2005.;https://www.alexandria.unisg.ch/213701/;;Szenario Bildungslandschaft 2005;;;;;;;;;;;;;;;;;;;
1647211217-5564;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper).;https://www.alexandria.unisg.ch/214060/;;Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper);;;;;;;;;;;;;;;;;;;
1647211501-5755;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Success and Failure: Two Longitudinal Case Studies on Media-Tablet Usage in CRM.;https://www.alexandria.unisg.ch/225216/;Sammer, Thomas;;;;;;;;;;;;;;;;;;;;
1647211102-5469;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Videobasiertes E-Learning auf dem Siegeszug 2.0.;https://www.alexandria.unisg.ch/197461/;;Videobasiertes E-Learning auf dem Siegeszug 2.0;;;;;;;;;;;;;;;;;;;
1647211006-5377;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard.;https://www.alexandria.unisg.ch/66873/;Back, Andrea;Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard;;;;;;;;;;;;;;;;;;;
1647210994-5365;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Strategische Ausrichtung von E-Learning.;https://www.alexandria.unisg.ch/213861/;Back, Andrea;Strategische Ausrichtung von E-Learning;;;;;;;;;;;;;;;;;;;
1647211453-5721;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.;https://www.alexandria.unisg.ch/213725/;Mayrhofer, David;;;;;;;;;;;;;;;;;;;;
1647211100-5466;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur.;https://www.alexandria.unisg.ch/213221/;Back, Andrea;Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur;;;;;;;;;;;;;;;;;;;
1647210998-5370;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Der rechte Umgang mit Stakeholdern.;https://www.alexandria.unisg.ch/66833/;;Der rechte Umgang mit Stakeholdern;;;;;;;;;;;;;;;;;;;
1647211331-5647;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Workplace e-Collaboration in Practice: Practical Guidelines for Implementing e-Collaboration in Organizations.;https://www.alexandria.unisg.ch/213825/;Mayrhofer, David & Back, Andrea;Workplace e-Collaboration in Practice: Practical Guidelines for Implementing e-Collaboration in Organizations;;;;;;;;;;;;;;;;;;;
1647210951-5325;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning.;https://www.alexandria.unisg.ch/66848/;Back, Andrea;E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning;;;;;;;;;;;;;;;;;;;
1647211241-5584;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich.;https://www.alexandria.unisg.ch/67626/;Bursian, Olaf;;;;;;;;;;;;;;;;;;;;
1647211162-5517;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Teamarbeit 2.0: Global - zeitgemäss - kompetent.;https://www.alexandria.unisg.ch/216813/;Back, Andrea;Teamarbeit 2.0: Global - zeitgemäss - kompetent;;;;;;;;;;;;;;;;;;;
1647210904-5280;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;"Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management.";https://www.alexandria.unisg.ch/66853/;;"Einführung und Leitung 1. Block 2. Woche: ""Applikationen"", Groupware und Knowledge Management";;;;;;;;;;;;;;;;;;;
1647211176-5532;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;„Die Kinder üben eine Denkhaltung“.;https://www.alexandria.unisg.ch/260035/;;„Die Kinder üben eine Denkhaltung“;;;;;;;;;;;;;;;;;;;
1647211343-5655;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Outlook: Beyond organizational boundaries - Knowledge Networks for Growth.;https://www.alexandria.unisg.ch/261/;;Outlook: Beyond organizational boundaries - Knowledge Networks for Growth;;;;;;;;;;;;;;;;;;;
1647211016-5387;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Implementierung von Wissensmanagement-Systemen und -Netzwerken.;https://www.alexandria.unisg.ch/214305/;Back, Andrea;Implementierung von Wissensmanagement-Systemen und -Netzwerken;;;;;;;;;;;;;;;;;;;
1647210902-5278;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Workshop Virtual Academia: Developments in new technology platforms.;https://www.alexandria.unisg.ch/66904/;;Workshop Virtual Academia: Developments in new technology platforms;;;;;;;;;;;;;;;;;;;
1647211106-5473;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Twitter - Begegnung mit altbekannten Lernsituationen.;https://www.alexandria.unisg.ch/213947/;;Twitter - Begegnung mit altbekannten Lernsituationen;;;;;;;;;;;;;;;;;;;
1647210917-5292;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung.;https://www.alexandria.unisg.ch/214217/;;Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung;;;;;;;;;;;;;;;;;;;
1647211016-5388;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Implementierung von Wissensmanagement-Systemen und -Netzwerken.;https://www.alexandria.unisg.ch/214305/;;Implementierung von Wissensmanagement-Systemen und -Netzwerken;;;;;;;;;;;;;;;;;;;
1647211509-5761;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?;https://www.alexandria.unisg.ch/226174/;;Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces?;;;;;;;;;;;;;;;;;;;
1647211182-5538;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?;https://www.alexandria.unisg.ch/227151/;;The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?;;;;;;;;;;;;;;;;;;;
1647211122-5485;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?#group_article;Social Media Update: Objectives and Trends.;https://www.alexandria.unisg.ch/214342/;;Social Media Update: Objectives and Trends;;;;;;;;;;;;;;;;;;;
