web-scraper-order;web-scraper-start-url;titel-href;titel;author;konferenz;veranstaltungstitel;zeitschrift;datum
1647091270-8342;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/213665/;Workplace Learning: mit E-Learning im Arbeitsprozess lernen.;Back, Andrea;null;null;SKO-Leader;01. Jan 03
1647090700-8074;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/67612/;The Emergence and Impact of Web 2.0.;Back, Andrea;null;Focus on social media;null;03. Mär 09
1647091088-8257;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/213725/;Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.;Mayrhofer, David;null;null;null;17. Mai 05
1647091295-8354;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/67617/;Group Wisdom Support Systems: Aggregating the Insights of many trough Information Technology.;Wagner, Christian & Back, Andrea;International Association for Computer Information Systems;null;Issues in Information Systems (IIS);01. Okt 08
1647090876-8156;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/288/;Perspectives for our partners. Innovation and the network option.;Rumyantseva, Maria;null;null;null;2002
1647090936-8184;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/213482/;Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?;Back, Andrea;THEXIS;null;null;2000
1647090660-8055;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/67060/;Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht.;Back, Andrea;null;Gastvortrag an der Pädagogischen Hochschule;null;13 July 2006
1647090792-8117;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/240750/;Mobile Enterprise - bereit für den mobilen Wandel?;Egeli, Martin & Back, Andrea;Fractal-Verl.;null;IT business;28. Apr 15
1647091036-8233;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/246905/;Enterprise 2.0 - Digitale Transformation durch soziale Technologien.;Back, Andrea;Springer Fachmedien Wiesbaden;null;null;2016
1647090852-8145;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/214311/;Training for Knowledge Networks: Documentation.;Vassiliadis, Stefanos;null;null;null;01. Okt 00
1647091332-8371;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/234560/;Employee Acceptance and Use of Unified Communications and Collaboration in a Cross-Cultural Environment.;Silic, Mario;null;null;International Journal of e-Collaboration;2014
1647091137-8280;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;https://www.alexandria.unisg.ch/223554/;Adoption of Online Videos in Organizations : A Multi-Case Comparison.;Ruf, Christian & Back, Andrea;Moderna Organizacija;"26th Bled eConference ""eInnovations: challenges and impacts for individuals, organizations and society""";null;09. Jun 13
