web-scraper-order,web-scraper-start-url,published,published-href,authors,date,journal,title
"1647205866-112","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Twitter - Begegnung mit altbekannten Lernsituationen.","https://www.alexandria.unisg.ch/213947/","Back, Andrea","null","null","Twitter - Begegnung mit altbekannten Lernsituationen"
"1647206210-273","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile Business : Management von mobiler IT in Unternehmen.","https://www.alexandria.unisg.ch/229147/","Sammer, Thomas; Back, Andrea & Walter, Thomas","null","null","Mobile Business : Management von mobiler IT in Unternehmen"
"1647205829-95","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen.","https://www.alexandria.unisg.ch/214073/","Back, Andrea","null","null","Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit, zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen"
"1647205947-150","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?","https://www.alexandria.unisg.ch/230900/","Sammer, Thomas; Back, Andrea & Brechbühl, Hans","null","null","Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?"
"1647205975-163","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Development Aspects and Supportive Factors in Knowledge Networks.","https://www.alexandria.unisg.ch/298/","Köhne, M.; Enkel, Ellen; Seufert, Andreas; Back, Andrea & Vonkrogh, Georg","null","null","Development Aspects and Supportive Factors in Knowledge Networks"
"1647206245-289","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Reifegradmodelle im Management von Enterprise 2.0.","https://www.alexandria.unisg.ch/69829/","Back, Andrea","null","null","Reifegradmodelle im Management von Enterprise 2.0"
"1647205670-26","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung.","https://www.alexandria.unisg.ch/213261/","Back, Andrea","null","null","Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung"
"1647206412-367","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensinitiativen: Überall, aber wo genau?","https://www.alexandria.unisg.ch/65861/","Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus","null","io new management","Wissensinitiativen: Überall, aber wo genau?"
"1647206060-203","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Coworking aus Unternehmenssicht II: Out of Office – into the Flow?","https://www.alexandria.unisg.ch/256520/","Josef, Barbara; Sapegina, Anastasia; Back, Andrea & Weibel, Antoinette","January 2019","null","Coworking aus Unternehmenssicht II: Out of Office – into the Flow?"
"1647206337-332","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Prozesskostenrechnung.","https://www.alexandria.unisg.ch/66706/","Back, Andrea","null","Bilanzbuchhalter","Prozesskostenrechnung"
"1647206080-212","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Massenspeicher, magnetischer.","https://www.alexandria.unisg.ch/196940/","Müller, Jochen","null","null","Massenspeicher, magnetischer"
"1647205720-50","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Chief-Learning-Officer-Projektagenda 200x.","https://www.alexandria.unisg.ch/213110/","Back, Andrea","null","null","Chief-Learning-Officer-Projektagenda 200x"
