web-scraper-order;web-scraper-start-url;content
1647115527-85;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Schuh, G.; Back, Andrea; Friedli, T. & Seufert, Sabine (1998) 2005: Virtuelle Universitäten auf dem Vormarsch. Thexis-Sonderheft Management Szenarien 2005, Vol. 15 (Nr. 2). 	130-131."
1647115527-321;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Seufert, Andreas; Vassiliadis, Stefanos & von Krogh, Georg: Competing with Intellectual Capital: Theoretical Background. , 2000,"
1647115527-29;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Silic, Mario & Back, Andrea  (2014) Shadow IT - A view from behind the curtain. Computers & Security, 45  274-283. ISSN 0167-4048
1647115527-350;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Sammer, Thomas & Back, Andrea: The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group? UK : The Case Centre, 2013.
1647115527-141;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Fiechter, Daniel; Sammer, Thomas & Back, Andrea: Efficient And Ubiquitous Resource Allocation - Can Smartphones Improve Urban Traffic Flow Associated With Numerous Cars Searching For Parking Spaces? 2013. 	- European Transport Conference 2013. 	- Frankfurt a. M.."
1647115527-348;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Sammer, Thomas; Back, Andrea & Brechbühl, Hans: 	Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction? 	 	The Case Centre (UK), 	2014."
1647115527-225;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: Web-DNA-Analyse von (((rebell.tv))) - Publizieren und Kommunizieren in innovativer Genese. In Piazzi, Tina & Seydel, Stefan M. (Hrsg.): Die Form der Unruhe; Band 1 : Das Statement. Hamburg : 	Junius, 	2009, S. 28-31."
1647115527-98;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea & Wagner, J.  	(1996) 	Internet und World Wide Web : Zugangs- und Anwendungsmöglichkeiten für den Steuerberater. 	DSWR, 	Vol. 25 	(4). 	78-80."
1647115527-134;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Ruf, Christian; Back, Andrea; Bergmann, Richard & Schlegel, Michael: 	Elicitation of Requirements for the Design of Mobile Financial Advisory Services - Instantiation and Validation of the Requirement Data Model with a Multi-method Approach. 	2015. 	- 48th Hawaiin International Conference on System Sciences (HICSS). 	- Kauai, Hawaii."
1647115527-255;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Critical Success Factors (CSF).     	In       	Mertens, Peter & Back, Andrea (Hrsg.):      	Lexikon der Wirtschaftsinformatik.  	Berlin : 	Springer, 	2001, 	S. 124-125."
1647115527-240;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Enkel, Ellen; Gurgul, Grzegorz & Rumyantseva, Maria: 	A methodology for adapting Knowledge Networks - managerial guidelines.     	In       	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (Hrsg.):      	Knowledge Networks for Business Growth.  	Berlin : 	Springer, 	2007, 	S. 99-163."
1647115527-478;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Strategische Ausrichtung von E-Learning. 	KMU-Wissen: Weiterbildung Online. 	Kassel, 	1 Oktober 2003."
1647115527-196;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; von Krogh, Georg; Seufert, Andreas & Enkel, Ellen (Hrsg.)      	:  	Getting real about knowledge networks : unlocking corporate knowledge assets. 	 	Basingstoke, UK : 	Palgrave Macmillan, 	2006, 	 	- ISBN 978-1-4039-0058-6."
1647115527-262;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Rieger, B. & Seufert, Andreas: 	Executive Information Systems.     	In       	Mertens, P. et. al. (Hrsg.):      	Lexikon der Wirtschaftsinformatik.  	Springer : 	Berlin et al., 	1997, 	S. 157-158."
1647115527-445;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein. 	eLearning an der LFUI - Rückblick und Ausblick. 	Innsbruck, 	28 September 2006."
1647115527-148;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Walter, Thomas & Back, Andrea: 	A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests. 	2013. 	- 46th Hawaii International Conference on System Sciences (HICSS). 	- Grand Wailea, Maui, Hawaii."
1647115527-312;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Leithner, Barbara; Keller, Miriam; Bursian, Olaf; Bendel, Oliver & Back, Andrea: 	Betreibermodell und Anreizsystem für Multimedia-gestützte Studiengänge im Weiterbildungsmarkt. 	, 	2001, 	BE HSG / IWI3 Nr. 20 (Internal Paper)."
1647115527-184;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Mayrhofer, David & Back, Andrea: 	Classification of IS Functionalities for Workplace E-Collaboration. 	2004. 	- 14th Information Resource Management Association International Conference (IRMA). 	- Philadelphia, PA."
1647115527-281;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Heidecke, Florian & Back, Andrea: 	Newsaggregatoren-Software - ein Marktüberblick. 	Arbeitsberichte des Learning Center der Universität St. Gallen, 	2007, 	1/2007."
1647115527-93;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(1997) 	Bildung für das Verständnis von Informations- und Kommunikationstechnik (IuK) - IuK für die Ausbildung. 	Schweizerische Zeitschrift für kaufmännisches Bildungswesen, 	Vol. 91 	(5). 	323-343."
1647115527-286;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Leithner, Barbara & Back, Andrea: 	Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen. 	Arbeitsberichte des Learning Center der Universität St. Gallen, 	2004, 	4/2004."
1647115527-8;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Peter, Lukas; Back, Andrea & Werro, Tina  	(2019) 	Practical Implications On How Established Companies Innovate With Startups: Tools and Guidelines for Innovation Managers. 	 	 	 	 	ISSN 2577-4972"
1647115527-356;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Egeli, Martin & Back, Andrea: 	Mobile Enterprise - bereit für den mobilen Wandel?     In: IT business     15         (2015),     1,     S. 24-25."
1647115527-298;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Mayrhofer, David & Back, Andrea: 	Workplace E-Collaboration: Theoretical Foundations and Practical Implications. 	Arbeitsberichte des Learning Center der Universität St. Gallen, 	2003, 	1/2003."
1647115527-193;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Gronau, Norbert & Tochtermann, Klaus (Hrsg.)      	:  	Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien. 	3., vollständig überarbeitete Auflage. 	München : 	Oldenbourg, 	2012, 	 	- ISBN 978-3-486-59832-2."
1647115527-109;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea  	(1994) 	Umsetzung objektorientierter Konstrukte im internen Rechnungswesen. 	HMD: Praxis der Wirtschaftsinformatik, 	Vol. 31 	(176). 	94-104."
1647115527-261;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea; Seufert, Andreas & von Krogh, G.: 	Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele.     	In       	      	Wissensmanagement : zwischen Wissen und Nichtwissen.  	München und Mering : 	Rainer Hampp, 	1999, 	S. 133-156."
1647115527-290;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Mayrhofer, David; Back, Andrea & Hubschmid, Roger: 	Web-Conferencing Software Tools: A Comprehensive Market Survey. 	Mayrhofer, David; Back, Andrea; Hubschmid, Roger, 	2004, 	2/2004."
1647115527-370;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Alles Technik oder was? Wenn IT-Trends aufs Business treffen. 	netzEvent IT-Markt Report 2012. 	Zürich, 	22 März 2012."
1647115527-4;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Grüttner, Arne; Wambsganss, Thiemo & Back, Andrea  	(2020) 	From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns. 	 	European Journal of International Management (EJIM) - Special Issue on: ""International Sports Management"""
1647115527-454;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Das interne Geschäftsmodell für betriebliche Bildung - Herausforderungen und Entwicklungstendenzen. 	6. CCEC-Workshop ""Geschäftsmodelle im E-Learning"". 	Bochum, 	29 Juni 2005."
1647115527-416;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Back, Andrea: 	Enterprise Work 2.0: So arbeiten Profis im Netz - und ich? 	Donna Informatica - Last Monday. 	Zürich, 	29 July 2009."
1647115527-111;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Marheine, Christian; Pauli, Tobias; Marx, Emanuel; Back, Andrea & Matzner, Martin: 	From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems. 	2021."
1647115527-232;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Enkel, Ellen; Back, Andrea & Vonkrogh, Georg: 	The Concept of Knowledge Networks for Growth.     	In       	Vonkrogh, Georg; Back, Andrea & Enkel, Ellen (Hrsg.):      	Knowledge Networks for Business Growth.  	Berlin : 	Springer, 	2007, 	S. 1-31."
1647115527-256;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;"Bendel, Oliver & Stoller-Schai, Daniel: 	E-Learning.     	In       	Mertens, Peter & Back, Andrea (Hrsg.):      	Lexikon der Wirtschaftsinformatik.  	Berlin : 	Springer, 	2001, 	S. 164-165."
