web-scraper-order,web-scraper-start-url,einträge,einträge-href,autoren,erscheinungsjahr,titel,zeitschriftentitel
"1646950499-202","https://www.alexandria.unisg.ch/Personen/Andrea_Back","The New Window to Athlete’s Soul – What Social Media Tells Us About Athletes’ Performances.","https://www.alexandria.unisg.ch/258471/","Grüttner, Arne; Vitisvorakarn, Min; Wambsganss, Thiemo; Rietsche, Roman & Back, Andrea","7 Januar 2020","The New Window to Athlete’s Soul – What Social Media Tells Us About Athletes’ Performances","null"
"1646950510-207","https://www.alexandria.unisg.ch/Personen/Andrea_Back","How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator.","https://www.alexandria.unisg.ch/264517/","Marheine, Christian; Engel, Christian & Back, Andrea","2021","How an Incumbent Telecoms Operator Became an IoT Ecosystem Orchestrator","MIS Quarterly Executive"
"1646950503-204","https://www.alexandria.unisg.ch/Personen/Andrea_Back","Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer.","https://www.alexandria.unisg.ch/260243/","Grüttner, Arne & Back, Andrea","Mai 2020","Digital-Entrepreneurship-Werkstatt:
Ein Start-up Baukasten für das Klassenzimmer","bildung+ schule digital"
"1646950495-200","https://www.alexandria.unisg.ch/Personen/Andrea_Back","From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns.","https://www.alexandria.unisg.ch/260293/","Grüttner, Arne; Wambsganss, Thiemo & Back, Andrea","2020","From Data to Dollar – Using the Wisdom of an Online Tipster Community to Improve Sports Betting Returns","null"
"1646950493-199","https://www.alexandria.unisg.ch/Personen/Andrea_Back","Innovation durch den Einsatz von Enterprise
IoT-Lösungen: Ein Modell zur Bestimmung des
Innovationspotenzials.","https://www.alexandria.unisg.ch/258266/","Marheine, Christian; Gruber, Lukas & Back, Andrea","4 November 2019","Innovation durch den Einsatz von Enterprise
IoT-Lösungen: Ein Modell zur Bestimmung des
Innovationspotenzials","HMD Praxis der Wirtschaftsinformatik"
"1646950508-206","https://www.alexandria.unisg.ch/Personen/Andrea_Back","Konfrontiert mit einer Flut von Kooperations­anfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung.","https://www.alexandria.unisg.ch/261143/","Grüttner, Arne; Braschler, Thomas & Back, Andrea","6 Oktober 2020","Konfrontiert mit einer Flut von Kooperations­anfragen: So meistern Sportorganisationen die systematische Analyse und Bearbeitung","Wirtschaftsinformatik & Management"
"1646950512-208","https://www.alexandria.unisg.ch/Personen/Andrea_Back","From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems.","https://www.alexandria.unisg.ch/261271/","Marheine, Christian; Pauli, Tobias; Marx, Emanuel; Back, Andrea & Matzner, Martin","Januar 2021","From Suppliers to Complementors: Motivational Factors for Joining Industrial Internet of Things Platform Ecosystems","null"
"1646950497-201","https://www.alexandria.unisg.ch/Personen/Andrea_Back","„Die Kinder üben eine Denkhaltung“.","https://www.alexandria.unisg.ch/260035/","Back, Andrea & Grüttner, Arne","Januar 2020","„Die Kinder üben eine Denkhaltung“","Personalwirtschaft - Das Magazin für den Job HR: Alter! So fördern und nutzen Sie die Talente erfahrener Mitarbeiter"
"1646950505-205","https://www.alexandria.unisg.ch/Personen/Andrea_Back","Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?","https://www.alexandria.unisg.ch/260201/","Lötscher, Julia & Back, Andrea","6 Mai 2020","Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?","Wirtschaftsinformatik & Management"
"1646950501-203","https://www.alexandria.unisg.ch/Personen/Andrea_Back","Steuerungstool des Board of Directors für Digitale Transformationsprojekte.","https://www.alexandria.unisg.ch/260172/","Mörstedt, Nils G. & Back, Andrea","19 März 2020","Steuerungstool des Board of Directors für Digitale Transformationsprojekte","null"
