web-scraper-order,web-scraper-start-url,seeall,seeall-href,scrap_authors,scrap_year,scrape_title,scrape_journal
"1647194191-1396","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Implementierung und Nutzung der Prozesskostenrechnung.","https://www.alexandria.unisg.ch/214286/","Back, Andrea","1995","Implementierung und Nutzung der Prozesskostenrechnung","null"
"1647194470-1529","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Kanzleiinformationssystem.","https://www.alexandria.unisg.ch/213561/","Back, Andrea & Seufert, Andreas","1 Januar 1995","Kanzleiinformationssystem","Datenverarbeitung-Steuer-Wirtschaft-Recht"
"1647194001-1307","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden.","https://www.alexandria.unisg.ch/213699/","Back, Andrea","16 Juni 2010","Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden","null"
"1647194223-1411","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Entscheidungsunterstützungssysteme.","https://www.alexandria.unisg.ch/213558/","Back, Andrea","2002","Entscheidungsunterstützungssysteme","null"
"1647194285-1442","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace.","https://www.alexandria.unisg.ch/216607/","Back, Andrea; Fuellemann, Peter & Jastrowski, Wolfgang","2012","Projektmanagement bei verteilten Teams mit Jive-Gruppen im Swiss Re Ourspace","null"
"1647193931-1274","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Impulsvortrag ""Persönliche Wissensarbeit"".","https://www.alexandria.unisg.ch/66942/","Back, Andrea","14 September 2006","Impulsvortrag ""Persönliche Wissensarbeit""","null"
"1647194464-1526","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Prozesskostenrechnung.","https://www.alexandria.unisg.ch/66706/","Back, Andrea","1 Januar 1994","Prozesskostenrechnung","Bilanzbuchhalter"
"1647194084-1346","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Computer Supported Cooperative Work im Fokus des Bankensektors.","https://www.alexandria.unisg.ch/214141/","Back, Andrea; Bauknecht, K.; Morger, O. & Tjoa, A.","1 Januar 1997","Computer Supported Cooperative Work im Fokus des Bankensektors","null"
"1647194042-1326","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Tablet Books: Your Courses' Material in Harry Potter Newspaper Style.","https://www.alexandria.unisg.ch/216775/","Back, Andrea","3 April 2012","Tablet Books: Your Courses' Material in Harry Potter Newspaper Style","null"
"1647194494-1540","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Der Cyberspace des 21. Jahrhunderts - Unsere virtuelle neue Welt?","https://www.alexandria.unisg.ch/196991/","Back, Andrea","1 Januar 1997","Der Cyberspace des 21. Jahrhunderts - Unsere virtuelle neue Welt?","Forum FN: Themen der Zeit"
"1647194630-1604","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Open Source Software Adoption: Lessons from Linux in Munich.","https://www.alexandria.unisg.ch/250394/","Silic, Mario & Back, Andrea","2 Februar 2017","Open Source Software Adoption: Lessons from Linux in Munich","IT Professional"
"1647194325-1461","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Putting Knowledge Networks into Action: Methodology, Development, Maintenance.","https://www.alexandria.unisg.ch/213771/","","2005","Putting Knowledge Networks into Action: Methodology, Development, Maintenance","null"
"1647194010-1311","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise 2.0-Fallstudien - Aus Erfahrung lernen.","https://www.alexandria.unisg.ch/214409/","Back, Andrea & Koch, Michael","16 September 2010","Enterprise 2.0-Fallstudien - Aus Erfahrung lernen","null"
"1647194547-1565","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wissensmanagement strategisch verankern.","https://www.alexandria.unisg.ch/65939/","Ammann Schoch, Regina; Back, Andrea; Kunert, Karsten & Tresch, Markus","1 April 2004","Wissensmanagement strategisch verankern","Wissensmanagement : das Magazin für Führungskräfte"
"1647194131-1368","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Betreibermodell und Anreizsystem für Multimedia-gestützte Studiengänge im Weiterbildungsmarkt.","https://www.alexandria.unisg.ch/196924/","Leithner, Barbara; Keller, Miriam; Bursian, Olaf; Bendel, Oliver & Back, Andrea","14 März 2001","Betreibermodell und Anreizsystem für Multimedia-gestützte Studiengänge im Weiterbildungsmarkt","null"
"1647193916-1267","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Return on E-Learning Investment.","https://www.alexandria.unisg.ch/66882/","Back, Andrea","4 März 2005","Return on E-Learning Investment","null"
"1647194178-1390","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design.","https://www.alexandria.unisg.ch/226769/","Walter, Thomas & Back, Andrea","2013","Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design","null"
"1647194534-1559","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-HR - Strategic Upgrade.","https://www.alexandria.unisg.ch/196824/","Back, Andrea","1 Juni 2002","E-HR - Strategic Upgrade","Learntec New"
"1647194487-1537","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Groupwarebasierter Help-Desk für Informatikprobleme: eine Applikation unter Lotus Notes an der Universität St. Gallen.","https://www.alexandria.unisg.ch/196928/","Back, Andrea & Schubert, P.","1 Januar 1996","Groupwarebasierter Help-Desk für Informatikprobleme: eine Applikation unter Lotus Notes an der Universität St. Gallen","HMD: Praxis der Wirtschaftsinformatik"
"1647194023-1317","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Enterprise 2.0 für das Management.","https://www.alexandria.unisg.ch/146663/","Back, Andrea","23 Mai 2011","Enterprise 2.0 für das Management","null"
"1647194389-1491","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Einsatzmöglichkeiten von Virtual Private Workspace.","https://www.alexandria.unisg.ch/216768/","Schoenenberg, Robin & Back, Andrea","21 Februar 2012","Einsatzmöglichkeiten von Virtual Private Workspace","null"
"1647194197-1399","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Telelernen.","https://www.alexandria.unisg.ch/214186/","Back, Andrea & Weiser, Christian","1997","Telelernen","null"
"1647194072-1340","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?","https://www.alexandria.unisg.ch/227151/","Sammer, Thomas & Back, Andrea","2013","The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?","null"
"1647194076-1342","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?","https://www.alexandria.unisg.ch/230900/","Sammer, Thomas; Back, Andrea & Brechbühl, Hans","2014","Employing Consumer IT in Operations: Will iPads Save Money, Increase Efficiency, and Raise User Satisfaction?","null"
"1647193791-1208","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Szenario Bildungslandschaft 2005.","https://www.alexandria.unisg.ch/213701/","Back, Andrea","22 April 1999","Szenario Bildungslandschaft 2005","null"
"1647194622-1600","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Factors driving unified communications and collaboration adoption and use in organizations.","https://www.alexandria.unisg.ch/247618/","Silic, Mario & Back, Andrea","23 Februar 2016","Factors driving unified communications and collaboration adoption and use in organizations","Measuring Business Excellence"
"1647194466-1527","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Ein Modell zur Kalkulation der Kosten je Absolvent.","https://www.alexandria.unisg.ch/196672/","Back, Andrea","1 Januar 1994","Ein Modell zur Kalkulation der Kosten je Absolvent","ZfB-Sonderheft"
"1647194568-1575","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Disruptiv innovieren in E-Learning und Kommunikation.","https://www.alexandria.unisg.ch/67619/","Back, Andrea","1 April 2009","Disruptiv innovieren in E-Learning und Kommunikation","Netzwoche"
"1647194500-1543","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Universitäre Ausbildung anno 2005.","https://www.alexandria.unisg.ch/66707/","Back, Andrea","1 Januar 1998","Universitäre Ausbildung anno 2005","Thexis-Sonderheft Management Szenarien 2005"
"1647193846-1234","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.","https://www.alexandria.unisg.ch/66857/","Back, Andrea","7 Februar 2002","eLearning im Unternehmen: Lessons Learned und Erfahrungslücken","null"
"1647194044-1327","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?","https://www.alexandria.unisg.ch/216806/","Back, Andrea & Henestrosa, Alexandra","18 April 2012","Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?","null"
"1647194528-1556","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Software-Tools und Architekturmodell für das Wissensmanagement.","https://www.alexandria.unisg.ch/197020/","Raimann, Joerg & Back, Andrea","1 July 2000","Software-Tools und Architekturmodell für das Wissensmanagement","ControllerNews: Die Zeitschrift für Controlling und Unternehmensführung"
"1647194609-1594","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Balancing Innovation and Operations: Opportunities and Challenges of Second Generation Enterprise Mobility.","https://www.alexandria.unisg.ch/235813/","Berghaus, Sabine; Sammer, Thomas; Brechbühl, Hans & Back, Andrea","14 Oktober 2014","Balancing Innovation and Operations: Opportunities and Challenges of Second Generation Enterprise Mobility","The journal of management systems"
"1647194003-1308","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices.","https://www.alexandria.unisg.ch/213944/","Back, Andrea","21 Juni 2010","2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices","null"
"1647194438-1514","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Deterrent Effects of Warnings on User’s Behavior in Preventing Malicious
Software Use.","https://www.alexandria.unisg.ch/250195/","Silic, Mario & Back, Andrea","6 Januar 2017","Deterrent Effects of Warnings on User’s Behavior in Preventing Malicious
Software Use","null"
"1647193950-1283","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Strategy Map und Scorecard für E-Learning Initiativen.","https://www.alexandria.unisg.ch/67254/","Back, Andrea","20 September 2007","Strategy Map und Scorecard für E-Learning Initiativen","null"
"1647194434-1512","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping.","https://www.alexandria.unisg.ch/241640/","Ruf, Christian; Back, Andrea & Weidenfeld, Henk Andreas","3 Juni 2015","Designing Tablet Banking Apps for High-Net-Worth Individuals : Specifying Customer Requirements with Prototyping","null"
"1647193878-1249","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Strategische Ausrichtung von E-Learning.","https://www.alexandria.unisg.ch/213861/","Back, Andrea","1 Oktober 2003","Strategische Ausrichtung von E-Learning","null"
"1647193895-1257","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning Balanced Scorecard.","https://www.alexandria.unisg.ch/66841/","Back, Andrea","23 März 2004","E-Learning Balanced Scorecard","null"
"1647194636-1607","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Management von digitalen Innovationen: Hat das Innovationstrichtermodell ausgedient?","https://www.alexandria.unisg.ch/254098/","Back, Andrea; Thoma, Sereina & Guggisberg, Vanessa","19 April 2018","Management von digitalen Innovationen: Hat das Innovationstrichtermodell ausgedient?","Wirtschaftsinformatik & Management : WuM"
"1647193793-1209","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Kooperatives Lernen im Internet.","https://www.alexandria.unisg.ch/213414/","Back, Andrea","1 September 1999","Kooperatives Lernen im Internet","null"
"1647193774-1200","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Wirtschaftlichkeitsanalysen im IV-Bereich.","https://www.alexandria.unisg.ch/66896/","Back, Andrea","2 Juni 1998","Wirtschaftlichkeitsanalysen im IV-Bereich","null"
"1647194577-1579","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","E-Learning zunächst ganz pragmatisch als Kundenservice.","https://www.alexandria.unisg.ch/214249/","Back, Andrea","1 Dezember 2010","E-Learning zunächst ganz pragmatisch als Kundenservice","Zeitschrift für E-Learning : Lernkultur und Bildungstechnologie"
"1647194590-1585","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Unternehmens-Wikis - wie ging das früher ohne?","https://www.alexandria.unisg.ch/214506/","Back, Andrea","1 März 2012","Unternehmens-Wikis - wie ging das früher ohne?","IT-Business"
"1647194108-1357","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper).","https://www.alexandria.unisg.ch/214060/","Bendel, Oliver; Stoller-Schai, Daniel; Mergel, Ines & Back, Andrea","10 März 2000","Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper)","null"
"1647194074-1341","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen.","https://www.alexandria.unisg.ch/232126/","Sammer, Thomas; Back, Andrea & Bessing, Stefan","2013","Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen","null"
"1647194244-1422","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","A methodology for adapting Knowledge Networks - managerial guidelines.","https://www.alexandria.unisg.ch/256/","Enkel, Ellen; Gurgul, Grzegorz & Rumyantseva, Maria","2007","A methodology for adapting Knowledge Networks - managerial guidelines","null"
"1647194210-1405","https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?","Executive Information System (EIS).","https://www.alexandria.unisg.ch/196825/","Back, Andrea & Seufert, Andreas","2001","Executive Information System (EIS)","null"
