web-scraper-order;web-scraper-start-url;load_article;load_article-href;get_title;get_authors;get_year;get_journal
1647173641-383;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Wachstumsbarrieren bei der Nutzung von betrieblichen Lernplattformen.;https://www.alexandria.unisg.ch/102531/;Wachstumsbarrieren bei der Nutzung von betrieblichen Lernplattformen;"Wildi, Dennis; Back, Andrea & Gfeller, Reto";01. Feb 11;HMD : Praxis der Wirtschaftsinformatik
1647172847-4;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Strategisches Management & Informations- und Kommunikationstechnologien (IKT) insbesondere Knowledge Management.;https://www.alexandria.unisg.ch/66888/;Strategisches Management & Informations- und Kommunikationstechnologien (IKT) insbesondere Knowledge Management;Back, Andrea;12. Mai 98;
1647173453-293;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Wie weit und bereit sind Unternehmen mit Enterprise 2.0 - Ergebnisse einer Reifegradstudie im deutschsprachigen Raum.;https://www.alexandria.unisg.ch/214383/;Wie weit und bereit sind Unternehmen mit Enterprise 2.0 - Ergebnisse einer Reifegradstudie im deutschsprachigen Raum;"Friedel, Dominik; Back, Andrea & Wieland, Ralf";28. Sep 11;
1647173668-396;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Mediennutzung in der Projektkommunikation von Studierenden - Analyse dreier Praxisprojekte unter besonderer Berücksichtigung der Kollaborationsplattform MavenLink.;https://www.alexandria.unisg.ch/238596/;Mediennutzung in der Projektkommunikation von Studierenden - Analyse dreier Praxisprojekte unter besonderer Berücksichtigung der Kollaborationsplattform MavenLink;Rennhard, Yannick & Back, Andrea;30. Sep 14;Interdisziplinäre Zeitschrift für Technologie und Lernen : iTeL
1647173402-269;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien.;https://www.alexandria.unisg.ch/216026/;Web 2.0 und Social Media in der Unternehmenspraxis : Grundlagen, Anwendungen und Methoden mit zahlreichen Fallstudien;Wertvolle Anregungen zur gewinnbringenden Nutzung von Web-2.0-Anwendungen und Social Media in Unternehmen und Verwaltung.Wikis, Blogs, Community-Plattformen und Social Media sind heute selbstverständlich in der Geschäftspraxis. Typische Einsatzfelder sind interne Kollaboration, Wissens- und Innovationsmanagement, Marketing und Recruiting. Wie kann Social Software ihre Aufgaben beeinflussen und ihre Prozesse verbessern? Über 60 führende Autorinnen und Autoren aus Wissenschaft und Praxis geben darauf in diesem Buch eine Antwort.Das Buch schafft Klarheit über Web-2.0-Prinzipien und den Zusammenhang relevanter Fachbegriffe. Die detaillierte Beschreibung der Anwendungsklassen und Konzepte - wie z. B. Soziale Netzwerke, Blogs, Wikis, Microblogging, Crowdsourcing oder Social Forecasting - macht die vielseitigen Nutzungsmöglichkeiten von Social Business Software verständlich. Auch jüngste Entwicklungen im mobilen Web 2.0 und die zunehmend stärker integrierten Anwendungen im Enterprise 2.0 werden behandelt.Hinzu kommen 20 ausführlich beschriebene Fallstudien, die einen Querschnitt über die verschiedenen Geschäftsprozesse in zahlreichen Branchen abdecken und zeigen, was in der Praxis Nutzen bringt und welche Erfolgsfaktoren ausschlaggebend sind. Lösungen von namhaften Grossunternehmen sind ebenso vertreten wie Lösungen von KMU und Anwendungen im öffentlichen Sektor. Die in der 3. Auflage neu hinzugekommenen Kapitel zu Rahmenbedingungen und Methoden liefern Projektverantwortlichen konkrete Managementinstrumente, um Social-Software-Projekte ganzheitlich und kompetent angehen zu können.Vorschau im [http://www.oldenbourg-verlag.de/wissenschaftsverlag/web-20-und-social-media-unternehmenspraxis/9783486598322 Oldenbourg Verlag];2012;
1647173681-402;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;The Influence of Risk Factors in Decision-Making Process for Open Source Software Adoption.;https://www.alexandria.unisg.ch/246832/;The Influence of Risk Factors in Decision-Making Process for Open Source Software Adoption;Silic, Mario & Back, Andrea;Jan 16;International Journal of Information Technology and Decision Making
1647173421-278;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools.;https://www.alexandria.unisg.ch/213725/;Software Tools for E-Collaboration: Evaluating Web-Conferencing Tools;"Mayrhofer, David; Back, Andrea; Hubschmid, Roger & Heidecke, Florian";17. Mai 05;
1647173710-416;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?;https://www.alexandria.unisg.ch/260201/;Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?;Lötscher, Julia & Back, Andrea;06. Mai 20;Wirtschaftsinformatik & Management
1647173156-151;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Computer Supported Cooperative Work im Fokus des Bankensektors.;https://www.alexandria.unisg.ch/214141/;Computer Supported Cooperative Work im Fokus des Bankensektors;"Back, Andrea; Bauknecht, K.; Morger, O. & Tjoa, A.";01. Jan 97;
1647173660-392;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Employee Acceptance and Use of Unified Communications and Collaboration in a Cross-Cultural Environment.;https://www.alexandria.unisg.ch/234560/;Employee Acceptance and Use of Unified Communications and Collaboration in a Cross-Cultural Environment;"Silic, Mario; Back, Andrea & Sammer, Thomas";2014;International Journal of e-Collaboration
1647173444-289;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry.;https://www.alexandria.unisg.ch/232358/;Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry;Back, Andrea & Haager, Christopher;12. Jun 11;
1647172984-69;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Schöne neue Arbeitswelt: Die Rolle von E-Tools für Ihre Informations- und Wissensarbeiter.;https://www.alexandria.unisg.ch/213727/;Schöne neue Arbeitswelt: Die Rolle von E-Tools für Ihre Informations- und Wissensarbeiter;Back, Andrea;12. Okt 04;
1647173367-252;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik.;https://www.alexandria.unisg.ch/231831/;Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik;Back, Andrea;2014;
