web-scraper-order;web-scraper-start-url;load_article;load_article-href;select_date;select_title;select_authors;select_journal
1647167627-17;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Knowledge Networking: Von der Vision zum Business Case.;https://www.alexandria.unisg.ch/213548/;01. Jan 00;Knowledge Networking: Von der Vision zum Business Case;Back, Andrea;
1647168171-262;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Business Engineering - Die ersten 15 Jahre.;https://www.alexandria.unisg.ch/213582/;26. Jun 05;Business Engineering - Die ersten 15 Jahre;;
1647168513-416;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?;https://www.alexandria.unisg.ch/260201/;06. Mai 20;Erfolgsfaktoren für digitale Solutions: Wie steht es um die Innovationskultur in Ihrem Unternehmen?;Lötscher, Julia & Back, Andrea;Wirtschaftsinformatik & Management
1647168370-350;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Kanzleiinformationssystem: Groupware-basiertes Wissensmanagement in Wirtschaftsprüfungs- und Steuerberatungskanzleien.;https://www.alexandria.unisg.ch/196851/;01. Jan 98;Kanzleiinformationssystem: Groupware-basiertes Wissensmanagement in Wirtschaftsprüfungs- und Steuerberatungskanzleien;Back, Andrea & Seufert, Andreas;Datenverarbeitung-Steuer-Wirtschaft-Recht
1647167769-81;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Trends im E-Learning - Chancen, die es zu nutzen gilt.;https://www.alexandria.unisg.ch/213753/;20. Okt 06;Trends im E-Learning - Chancen, die es zu nutzen gilt;Back, Andrea;
1647168219-283;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis.;https://www.alexandria.unisg.ch/68008/;11. Mär 10;Open (e-)Cooperation - Ein Erfahrungsbericht zu Formen der Zusammenarbeit von Hochschullehre und Unternehmenspraxis;Back, Andrea;
1647167736-66;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell.;https://www.alexandria.unisg.ch/66845/;13. Mai 04;E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell;Back, Andrea;
1647168391-360;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?;https://www.alexandria.unisg.ch/213808/;01. Feb 01;Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?;Back, Andrea;Forum
1647168385-357;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Wissensmanagement - eine Bestandsaufnahme.;https://www.alexandria.unisg.ch/66718/;01. Apr 00;Wissensmanagement - eine Bestandsaufnahme;"Back, Andrea; Seufert, Andreas & von Krogh, G.";SAP Info
1647168470-396;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Mediennutzung in der Projektkommunikation von Studierenden - Analyse dreier Praxisprojekte unter besonderer Berücksichtigung der Kollaborationsplattform MavenLink.;https://www.alexandria.unisg.ch/238596/;30. Sep 14;Mediennutzung in der Projektkommunikation von Studierenden - Analyse dreier Praxisprojekte unter besonderer Berücksichtigung der Kollaborationsplattform MavenLink;Rennhard, Yannick & Back, Andrea;Interdisziplinäre Zeitschrift für Technologie und Lernen : iTeL
1647168021-196;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;Critical Factors Influencing Innovation Diffusion on Corporate Websites.;https://www.alexandria.unisg.ch/231448/;06. Jul 05;Critical Factors Influencing Innovation Diffusion on Corporate Websites;Zollet, Roman & Back, Andrea;
1647167701-50;https://www.alexandria.unisg.ch/view/pub_alex_user_id/624.html?;E-Meetings im Überblick: Eine Einführung.;https://www.alexandria.unisg.ch/213913/;08. Mai 03;E-Meetings im Überblick: Eine Einführung;Back, Andrea;
