Alexandria Scraper - Andrea Beck;;;;;;;;;;;;;;;;;;;;
Publikationstitel;Link;Autorennamen;Publikationsart;Journal;Fachgebiete;Sprache;Stichworte;Peer-Reviewed;Datum;Verlag;Auflage;Ausgabe;Seiten;ISSN;DOI;URL;Eingestellt von;Einstellungsdatum;Letzte Änderung;URI
Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung.;https://www.alexandria.unisg.ch/214217/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;20 Oktober 1999;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 12:48;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214217
Unternehmensinternes Multiblog der Namics AG.;https://www.alexandria.unisg.ch/214325/;Hain, Stefanie & Schopp, Bernd;Buchkapitel;;information management;Deutsch;Wiki, Web 2.0, Weblog;Nein;2008;;;;187-198;;;;Stefanie Hain;16 Dez 2010 11:55;07 Apr 2016 07:22;https://www.alexandria.unisg.ch/publications/214325
E-Learning im Unternehmen.;https://www.alexandria.unisg.ch/67460/;Back, Andrea;Buchkapitel;;information management;Deutsch;E-Learning;Ja;2008;;2. Aufl.;;online;;;http://www.enzyklopaedie-der-wirtschaftsinformatik...;Prof. Dr. Andrea Back;16 Okt 2008 14:39;13 Mar 2022 01:21;https://www.alexandria.unisg.ch/publications/67460
Mobile First auch in Beratungsprozessen des Private Banking? Entwicklung und Validierung einer iPad-Applikation.;https://www.alexandria.unisg.ch/248640/;"Ruf, Christian; Back, Andrea & Burkhardt, Marc";Buchkapitel;;"other research area
finance";Deutsch;;;März 2016;Universitätsverlag Ilmenau;II;;955-966;;;https://www.db-thueringen.de/receive/dbt_mods_0002...;Prof. Dr. Andrea Back;30 Jun 2016 11:44;27 Apr 2017 12:54;https://www.alexandria.unisg.ch/publications/248640
Critical Success Factors of Global Enterprise Resource Planning Programmes: An Empirical Model Based on Expert Interviews.;https://www.alexandria.unisg.ch/214386/;Seidel, Gunter & Back, Andrea;"Konferenzbeitrag
  	      (Paper)";;information management;Englisch;Enterprise Resource Planning;Ja;9 Juni 2011;;;;1-12;;;http://aisel.aisnet.org/ecis2011/12/;Prof. Dr. Andrea Back;19 Okt 2011 09:38;20 Apr 2017 13:04;https://www.alexandria.unisg.ch/publications/214386
Trend-Landkarte: Unternehmen im Informationszeitalter, Groupware-Tutorial1.;https://www.alexandria.unisg.ch/214207/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation, Groupware;Nein;14 September 1999;;;;;;;;Prof. Dr. Andrea Back;30 Aug 2006 09:40;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214207
Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger.;https://www.alexandria.unisg.ch/67844/;Back, Andrea;Präsentation;;information management;Deutsch;Web 2.0;Nein;3 März 2009;;;;;;;;Prof. Dr. Andrea Back;09 Okt 2009 13:11;23 Aug 2016 11:08;https://www.alexandria.unisg.ch/publications/67844
Putting Knowledge Networks into Action: Methodology, Development, Maintenance.;https://www.alexandria.unisg.ch/213771/;;Buch;;information management;Deutsch;;Nein;2005;Springer;;;196;;10.1007/b138845;;Prof. Dr. Andrea Back;03 Apr 2006 15:12;24 Mar 2016 13:23;https://www.alexandria.unisg.ch/publications/213771
Chief-Learning-Officer-Projektagenda 200x.;https://www.alexandria.unisg.ch/213110/;Back, Andrea;Präsentation;;information management;Deutsch;Präsentation;Nein;1 Oktober 2002;;;;;;;;Prof. Dr. Andrea Back;29 Aug 2006 11:34;12 Mar 2022 01:22;https://www.alexandria.unisg.ch/publications/213110
Enterprise 2.0 - Nutzung & Handlungsbedarf im innerbetrieblichen, B2B und B2C Kontext.;https://www.alexandria.unisg.ch/214359/;Back, Andrea & Friedel, Dominik;Fallstudie;;information management;Deutsch;Enterprise 2.0, Web 2.0;Nein;1 Oktober 2011;T-Systems Schweiz AG;;;;;;;Prof. Dr. Andrea Back;07 Okt 2011 11:13;23 Aug 2016 11:13;https://www.alexandria.unisg.ch/publications/214359
